Hindi,Bhili
मैं इन Team India सवा सौ करोड़ देशवासी मैं आज कहना चाहता हूं,हॅू इना टोलू इण्डिया हवा हो करोड देहं वासियों थी आज केहवा मांगू हॅू
वो side effect की तैयारी के साथ भी काले धन के खिलाफ कठोरता से काम लेने के दिशा में हम आगे बढ़े और बढ़ेंगे,त्यो बाजू मा नुकसान नी तैयारी ने हाते पण काला धन ने लिदे कठेण थी काम लेवाा मा हमू अगल चालीरा से अनेे चालवान
"और इतना हो गया है काला धन वापस लाने की एक लम्बी प्रक्रिया चल रही है, लेकिन इतना तो हो गया है कि अब कोई काला धन बाहर भेजने की हिम्मत नहीं करता है।","अने ऐतरू थई ग्यू से कालू धन पासु लावानी मोकल वानी हिम्मत नहीं करे से ।
"
"यह तो फायदा हुआ ही हुआ है।",ई त्यो फायदो ही थायो से ।
कोई माने या न माने।,कई नोक माने या नी माने ।
इतना ही नहीं अभी कुछ दिनों में जब यह समय दिया है कि आप अपना घोषित कर सकते हो।,"ऐतरू थी नथी हवडा कईज दनो मा जेरा यो टेम आलीयो से कि आपु आपडो केहवा नु करी सके ।"
"मैं आज कह सकता हूं करीब 65 सौ करोड़ रुपया अब अघोषित आय ।","हॅू आज कई सकू से करीब 65 हो करोड रूपया छे वगार गणति नी रूपया ।"
लोगों ने आकर के घोषित सामने से करना शुरू कर दिया। यह पैसा हिंदुस्तान की तिजोरी में आएगा।,मनखाये हामे आवी ने केहवानु शुरू करी दे दू । यो पईसा हिन्दुस्तान नी पेटी मा आवहे ।
"भारत के गरीब के काम आएगा।","भारत ना गरीब ने काम आवे है ।"
"और भाइयों-बहनों आपको जो मैंने विश्वास दिया है उसे पूरा करने के लिए पूरे संकल्प के साथ हम आगे बढ़ेंगे।",अने भाईयो बुनो तनुने ज्यो मै विश्वास आलीयो से हिने पूरो करवाने लिदे हाम ने हाते हमू  अगल चालवाना ।
भाइयों-बहनों सीबीआई के द्वारा हमारी सरकार बनने के पहले एक वर्ष में भ्रष्टाचार के सिर्फ 800 केस हुए थे।,"भाईयो बुनो सीबीआईथी  आपडो सरकार वणावा नी पेहला एक वरहे मा  साना सप रूपया खावा या खाली 800 केस थाया हता ।"
800 भाइयों-बहनों हमने सत्ता में आने के बाद हम तो नये हैं अब तक One Thousand Eight Hundred - 1800 केस हम दर्ज करा चुके हैं,800 भाईयो बुनो हमुये सरकार मा आवा ने पचल हमू ते नवु से हाव तक एक हजार आठ हो 1800 केस हमू लिखी लेदा से
और अफसरों के खिलाफ हमने कार्रवाई शुरू की है। सरकार के मुलाजिमों के खिलाफ कार्रवाई शुरू की है।,"अने साबो नी वग मा हमूये कारवाई शुरू  की से । सकरार ना मुलाजिमो  ना वग कारवाई शरू करी से ।
"
आप कल्पना कर सकते हैं हमारे आने से पहले एक साल में 800 और हमारे बाद ,तमु हपना देखी सको से आपडा आना थी पेहलु एक वरह मा 800 अने आपडे बाद
"10 महीने के भीतर-भीतर 1800, यह बताता है कि भ्रष्टाचार के खिलाफ लड़ने का हमारा माद्दा कैसा है।
","10 मईना मा माई माई 1800 यी वताडे से कि साना सप रूपया वाला नी खिलाफ लडाई  लडवानो  मदो केवो से  ।
"
"ये दिखाता है कि हमारी भ्रष्टाचार के खिलाफ लड़ने की प्रतिबद्धता press conference करके हमने नहीं जताई है हमने धरती पर कदम उठा करके जताई है और हमने परिणाम पाया है।","यु भलाई से हमुये धरती उपर पोग तोकियी करीने वताडू से अने हमूये फोल लेदो से ।"
हमने व्यवस्थाओं को बदलने की कोशिश की है,हमुये सगवेड ने बदलवानी कोशिश करी से
मनरेगा सीधा जनधन एकाउंट में पैसा कैसे जाए बच्चों की स्कॉलरशिप' सीधा पैसा बैंक के एकाउंट में कैसे जाए,मनरेगा हुदा जनधन ना खाता या पईसा जाये की सोरा नी छात्रवृत्ति हुदा पईसा बैक ना खाता मा केकम जाए
कम से कम दलाली कैसे हो उस दिशा में हमने काम प्रारंभ किया है और मुझे विश्वास है कि इन कामों के कारण देश उन बातों को पूर्ण कर पाएगा।,कम थी कम दलाली केकम होय हिनी वग मा हमुये काम सरू करीयु से अनेअन विश्वास से कि हिना कामो ना कारण देहं तीनी वातो ने पूरी करी सकिहै ।
मेरे किसान भाइयों-बहनों गत वर्ष वर्षा का संकट हुआ था,मेरे किसान भाइयों-बहनों गत वर्ष वर्षा का संकट हुआ था
"जितनी मात्रा में वर्षा चाहिए नहीं हुई थी देश के अर्थतंत्र को भी नुकसान हुआ था और किसानों को भी नुकसान हुआ था।
","जेतरू वरसात जोईये  एवी नहीं थई देहं ना धनवाला भाग ने घाटो आयो हतो अने करसाण ने पण घाटो थायो हतो ।
"
"उसके बावजूद भी महंगाई को नीचे लाने में हम सफल हुए।",हिने बाद पण मोहगवारी ने नीचु लावा मा हम जीवी ग्या ।
"ये मानना पड़ेगा कि हमारे आने से पहले महंगाई double digit थी दो अंकों में चलती थी।","ये मानवु पडे है कि आपडा आवा थी पेहला मोहगवारी बेगणी  थई ग्याी वे आकडा मा माही ग्यी ।"
हमारे आने के एक के बाद एक प्रयासों के कारण बारिश कम होने के बावजूद भी,आपडा आवा ने बाद एक एक कोशिश ना कारण थी वरसात कम थावा बाद
"किसान परेशान हुआ उसके बावजूद भी महंगाई को दो अंकों से नीचे लाते -लाते करीब 3-4 percent तक लाने में हम सफल हो गए।
",करसाण परेशान थाया इनाने बाद पण मोहगवारी मा  बे आकडा नीचा लावता लावता  करीब 3.4 प्रतिशत  तक लावामा पास थई ग्या
उसको और नीचे लाए जाने का प्रयास हमारा जारी रहेगा क्योंकि,हिनाने अने नीचु लावा नी कोशिश पूरी करवामा केमकी
"गरीब से गरीब की थाली में संतोषजनक खाना मिले इन सपनों को ले करके हम चल रहे हैं।
","गरीब नी थाली मा मन थावे एवु खावानु मले इन हपना  ने लयीने हमु चालीरा से ।
"
"लेकिन हमारे देश के कृषि जीवन को एक बहुत बड़े बदलाव की आवश्यकता है।","पण आपडा देह नी खेती नो जीवन नो एक घणो मोटो बदलावो नी जरूरत से ।"
"जमीन कम होती जा रही है परिवारों में जमीन बंटती चली जा रही है' टुकड़े छोटे हो जा रहे हैं।","जमी कम थाती जईरी से परिवारो मा जमीन वटाती आवी री से नाना टूकडा थई रा से ।"
इस मंत्र को ले,"हिना मंत्र नो लो"
"हमारी जमीन की उपजाऊ ताकत बढ़ानी पड़ेगी, productivity बढ़ानी पड़ेगी किसान को पानी चाहिए किसान को बिजली चाहिए।","आपडी जमी ने पैदाही आले हेवी तकित वदारवी पडहै । पैदावार बढावी पडहे करसान ने पाणी जोईये करसान ने बिजली जोईये ।"
"उस सपने को पूरा करने की दिशा में हम काम कर रहे हैं।",हिना हपना ने पूरा करवानी वग मा हमू काम करीरा से ।
पचास हजार करोड़ रुपया प्रधानमंत्री कृषि सिंचाई योजना के लिए हमने लगाने का तय किया है,पंचा हजार करोड रूपया प्रधानमंत्री खेती मा पाणी फेरवानु ओजना ने लिये हमूये लगाडवानु तय करीयु से
"और खेत तक पानी कैसे पहुंचे और पानी बचाना भी होगा।
","अने खेतर तक पाणी  केकेम पुगहे अने पाणी पण वचाडवानु होवो ।
"
"save water, save energy, save fertilizer करके हमने हमारे कृषि जीवन में आंदोलन खड़ा करना है","पाणी वचाडो , ताकत वचाडो , खातर वचाडो करीने हमुये आपडी खेती ना जीवन मां कईक नवुकाम आंदोलन करवु से"
और इसलिए हम उस काम को आगे बढ़ाने के लिए per drop more crop एक-एक बूंद से अधिकतम फसल,अने हमू हिना काम ने अगल वदार वाने लि दे हरेक बुद हरेक फसल ए एक एक बुंद थी वदु थी वदु फसल
"और सफल किसान इस काम का आगे बढ़ाने की दिशा में ये धन खर्च करने की दिशा में आगे बढ़े हैं।
","अने सफल करसान हिना काम ने अगल वदारे नी वग मा रूपया खर्चो  करीने वग मा अगडी चाले से ।
"
"पिछले दिनों जब ओले गिरे' हमने 50 प्रतिशत उसको जो क्षति हुई थी उस क्षति पूर्ति में वृद्धि कर दी।","पाचला दनो जेरा गार पडे हमुये 50 प्रतिशत भाग इनानो जो नुकसान थायो हतू इनी भरपाई मा वदारो कर दे दो ।"
60 साल में इतना बड़ा jump कभी लगा नहीं इतना ही नहीं पहले अगर कभी नुकसान होता था,60 वरह मा ऐतरा मोटी फलाग कदी नहीं लगाडी हेतरी नहीं पेहलू कदी घाटो थातोहतो
"तो 50 प्रतिशत नुकसान हो तभी वो मुआवजे के दायरे में आता था हमने इसको कम करके 30 प्रतिशत कर दिया।
","तेरा 50 भाग घाटो होय तेरा तिनों मुआवजा आवता हता हमुये हिना ने कम करी 30 भाग रक दे दू ।
"
"इससे बड़ा किसान को मदद का काम पिछले 60 साल में कभी हुआ नहीं है।",हिनथी मोटा करसाण नो  टेका या काम  पाचला 60 वरह मा कदी नहीं थायु  से ।
किसान को urea चाहिए हमने नीम कोटिंग urea मैं फिर एक बार कहता हूं,करसाणों ने यूरिया जोईये हमुये नी कोटिग यूरिया हॅू एक वखत फेर ही कईरो से
भ्रष्टाचार के खिलाफ कैसे लड़ाई लड़ी जा सकती है,कि साना सप रूपया खावा वाला ने खिलाफ मा केकम लडाई लडी जोबी से
"नीम कोटिंग नीम कोटिंग ये कोई मोदी के दिमाग की पैदावार नहीं है ये वैज्ञानिकों से सुझाया हुआ विचार है 
","नीम कोटिग नी कोट ग ये कईनो मोदी ना दिमाग नी पेदाही नथी से यो जाणकार नी कहवान विचार से 
"
और ये विचार सिर्फ मेरी सरकार के सामने आया ऐसा नहीं पहले भी सरकारों के सामने आया है।,यो विचार खाली मारी सरकार हामे आया हेतू नहीं वेहली सरकारो ने हामे पण आयु से ।
हमारे देश में किसानों के नाम urea जाता है,आपडा देहं मा करसाण नाम यूरिया थी जाणे
"अरबों-खरबों urea का जाता है, लेकिन वो यूरिया 15%, 20%, 25% chemical की फैक्ट्ररियों में चला के रूप में जाता है ।
","अरबो खरबो यूरिया जाये से पण ई यूरिया 15 प्रतिशत , 20 प्रतिशत , 25 प्रतिशत केमीकल वाली फेक्ट्री मा खराब माल ना रूप मा जाये से ।
"
"नाम किसान का होता है' दलालों के माध्यम से चोरी होती है।",नाम करसाण नु से दलाली वसमा चोरी करे से ।
"नीम coating शत-प्रतिशत किये बिना यह चोरी रोकी नहीं जा सकती।","नीम कोटेड नी पूरी करीया वगर ही चोरी रोकी नहीं जाय सकेहे ।"
और इसलिए हमने सरकार की तिजोरी पर बोझ पड़े तो भी यूरिया का 100% नीम coating करने का काम पूरा कर दिया।,"अने एतरे हमुये सरकार नी पेटी मा भार पडे तो पण युरिया नु 100 प्रतिशत नीम कोटिंग करवाना काम ने पूरू कर दे दू ।"
"और इसके कारण अब यह यूरिया खेती के सिवा किसी काम नहीं आ सकता ।","अने हिना कारण हते ही यूरिया  खेतर नी सीवा कईनाक काम मा नी आवी सके ।"
"कोई chemical फैक्ट्री इसमें से कुछ नहीं निकाल सकती ।","कोई केमीकल कारखानु हिमाथी कईक नहीं निकली सके ।"
और इसलिए किसान को जितना यूरिया चाहिए उतना मिलेगा,अने ऐतरे करसाण ने जेतरू यूरिया जोईये एतरू मलहे
और नीम coating होने के कारण उसको जो nutrition value चाहिए जमीन में 10% कम यूरिया उपयोग करते हुए भी उसको इसका लाभ मिलने वाला है,अने नीम कोटीग होवा ना कारण हिनमा ज्यो खास किमत जोईये जमीन मा 10 प्रतिशत भाग यूरिया काम करता थई हिनानो फायदो मलवावालो से
"आने वाले season में मेरे देश के किसानों को यूरिया का एक नया लाभ।
","आवावाला टेम मा मारा देहना करसाणो  ने यूरिया नो एक नफो फायदो ।
"
और मैं तो सभी किसानों को कहता हूं,और मैं तो सभी किसानों को कहता हूं
कोई गलती से भी बिना नीम coating का यूरिया आपको दिखाता है तो आप मान लेना कि वो सरकार के द्वारा अधिकृत नहीं है।,"कोई गलती थी पण वगर नीम कोटीग ी नु यूरिया आपडू ने भलाई से तेरा आपू मान तेवू कि सकार वालु खातर नहीं से ।
"
"किसी ने पीले रंग का कोई पाऊडर आपको दे दिया है आप हाथ मत लगाना ।",कईनाक ने पीला रंग नु कईनुक पावडर आपूने आल दे से आपू हाथ कदी मत लगाडजो ।
भाइयों-बहनों पिछले दिनों मैं कहता हूं,भाईयो बुनो पाचला द नों थी हॅू
"कि भारत का अगर विकास करना है तो पूर्वी हिंदुस्तान के विकास के बिना भारत विकसित नहीं हो सकता।
","कहतो से कि भारत ने कदी अगाडी काम करवु से त्या पूर्वी हिन्दुस्तान नु अगाडी नु काम ने वगर भारत होशेलु नहीं थई सके ।
"
"भारत का पश्चिमी छोर यही अगर आगे बढ़ेगा तो हिंदुस्तान कभी आगे नहीं बढ़ सकता।",भारत ना पश्चिम बुडमणों ठाम ही कदी अगाडी वदहे त्या हिन्दुस्तान कदी अगाडी नहीं बढी सके ।
हिंदुस्तान तब आगे बढ़ेगा जब हमारा पूर्वी यह भू- उत्तर प्रदेश ताकतवर बने हमारा बिहार ताकतवर बने,हिन्दुस्तान तेरा अगाडी चालहे जेरा आपडा उगमणा ही हमी उतर प्रदेश ताकत वालो बने आपडो बिहार ताकत वालो बणे
"हमारा पश्चिम बंगाल ताकतवर बने हमारा असम हमारा ओडिशा हमारा भाग हिंदुस्तान का यह ताकतवर बनना चाहिए।
","आपडो पश्चिम बगाल ताकत वालो बणे आपडो असम आपडो ओडिसा आपडो भाग हिस्दुस्तान नु ही ताकत वाला वणवा जोईये ।
"
"और इसलिए infrastructure का मामला हो, Rail connectivity का मामला हो, Digital Connectivity का मामला हो",अने ऐतरे जरूरी चिजो नो मामला मा रेल नो माल लावा ले जावा ना मामला होय 
"हमने हर बात में पूर्वी भारत में ध्यान केंद्रित किया है और पूर्वी भारत में ध्यान करने में हम गैस की पाइप लाइन लगा रहे हैं।
","हमुये बद् दी वात मा उगमणा भारत मा ध्यान करवानु काम करीयु से अने उगमणा भारत मा ध्यान करीने हमू गैस नी पाईप लेणुयु लगाडी रहा से ।
"
किसी ने सोचा होगा कि जिन राज्यों में kitchen में पीने का पानी अभी Tap से आना मुश्किल लगता है,कईनाक ने होशु हेय कि जिना राज्यो मां खाउ बणावानु पाणी पीवा नु पाणी पीवानु अजु ताजु आवामा काठ लाग से
"वहां गैस का पाइप तक पहुंचाने की दिशा में हम काम कर रहे हैं।
","त्या गैस ना पाईप तक पुगाड वानी वगमा हमू काम करीरा से ।
"
"और चार यूरिया Fertilizer के कारखाने जो पूर्वी भारत में बंद पडियों थे वहां के नौजवान बेरोज़गार हुए थे वहां का किसान परेशान हो रहा था।","अने चार यूरिया नु कारखाना ज्यो उगमणों भारत मा  बंद परीयों हतो त्या ना जुवोन सोरा वगर  काम करे त्या ना करसाण परेशान थई रहा से ।"
हमने नई यूरिया नीति बनाई हमने गैस supply की नई नीति बनाई और उसका परिणाम है कि,हमुये नवी यूरिया वाली नेमो बणावी हमुये गैस मोकली वानी नवु नेम बणायो अने हिनो फोल से कि
गोरखपुर हो बरेली हो तालचेर हो` सिंदरी हो' यह सारे पूर्व से जुड़े हुए इनके Fertilizer के कारखानों को पुनर्जीवित करके नौजवानों को रोज़गार देना,"गोरखपुर होय बरेली होय ताल चेर होय  सिदरी हो ये हंगला उगमणा थी जोडयला इनी कारखाना ने फर थी करवानु करीने जोवान सेारा ने काम आलवु 
"
और किसानों को देना उसकी दिशा में हम काम कर रहे हैं।,अने करसाणों ने आलवा नी वग मां हमू काम करीरा से ।
"भाइयों-बहनों देश में सेना के जवानों के लिए जवानों के कल्याण के लिए विभाग होता है।","भाईयोमा बुनो देहं मां पोलिस वाला जोवानु ने लिदे जोवानु ना कायदा ने लिये विभाग मा से ।"
"लेकिन इस देश में जितना माहात्म्य जवान का है उतना ही माहात्म्य किसान का है।","पण इना देहं मां जेतरा महाराज जवान ना से ऐतरा ही महाराज करसाण से ।"
"60 साल में हमने क्या किया है हमने कृषि के आर्थिक पहलू पर बल दिया है।
",60 वरह मा हमूये केम करीयु से हमुये खेतरू ना धन नी पेहल उपर ताकत आलीयो से ।
हमारी कृषि अच्छी हो कृषि का विकास हो और सरकार के मंत्रालय का नाम भी कृषि मंत्रालय रहा।,आपडी खेती असल हो खेती नु काम होय अने सकरार ना आफिस ना नाम पण खेती आफीस रहा ।
भाइयों-बहनों कृषि मंत्रालय का जितना महत्व है उतना ही महत्वपूर्ण समय की मांग है किसान कल्याण का भी महत्व है।,"भाईयो बुनो खेती नु काम मा  आफिस नो जेतरो खास से यो बदु खास टेम नी मांग से करसाण नो फायदो नु खास से ।
"
अकेले कृषि विकास यह बात ग्रामीण जीवन के लिए कृषि जीवन के लिए,अकलु खेती ना काम ही वात गामां या रेहवानु जीवन ने लिदे
अधूरी है वो पूर्ण तब होगी जब किसान कल्याण को भी जोड़ा जाए।,"खेती नो जीवन ने लिदे आदू से त्यो पुरू तेरा थाये जेरा करसाणु ने फायदा थी जोडी जाये ।
"
और इसलिए भाईयों-बहनों अब भारत सरकार का जो मंत्रालय कृषि मंत्रालय के रूप में जाना जाता था,अने ऐतरे भाईयों बुनो हाव भारत नी सरकार नो मोटो आफिस खेती वाला नी आफिस मा जाणे जाय से
वो कृषि मंत्रालय एवं किसान कल्याण मंत्रालय के रूप में जाना जाएगा ,त्या खेती नी मोटी आंफिस  अने करसाण फायदो वालो आफिस मा नाम थी जाहे
और आने वाले दिनों में कृषि के लिए जैसे योजना बनेगी वैसे ही किसान कल्याण की भी योजना बनेगी,अने आवा वला दनों मा खेती ने लिदे जेबी ओजना बणे तेवी ही करसाण ना फायदा नी ओजना बण है
ताकि मेरे किसान को जो व्यक्तिगत जीवन में समस्याएं झेलनी पड़ती हैं मुसीबतों से गुजरना पड़ा है ,"तेरा मारा करसाण नु जीवन मा कठेणो झेलवी पडे से कठेणो मा जीवु पडे से 
"
तो सरकार एक स्थायी व्यवस्था के रूप में उसको मदद करने की दिशा में प्रयास करेगी। ,तेरा सकरार एक नवी सगवेड ना रूप मइनाने टेको करवा नी वग मा कोशिश करी है ।
भाईयों- बहनों आने वाले दिनों में एक काम की ओर मैं ध्यान देना चाहता हूं,भाईयो बुनो आवा वाला दनो मा एव काम नी उपर ध्यान करवा जोवु हॅू । 
"आजादी के इतने वर्ष हो गए लेकिन आज भी हमारे देश में करीब साढ़े 18 हजार' 18,500 गांव ऐसे हैं कि",आजादी सुटटा थावा ने ऐतरा वरह थ्ई ग्या पण आज पण आपडा देहं मा करीब साढे 18500 गाम हेवा से कि
जहां बिजली का तार नहीं पहुंचा है बिजली का खंभा नहीं पहुंचा है।,ज्या विजली ना तार नही पुगिया से विजली ना खम्बा नी पुगिया से ।
"आजादी का सूरज आजादी का प्रकाश आजादी के विकास की किरणें 18500 गांव वंचित हैं।",आजादी सुट्टा भाषा नो दन हुरज सुटटो अजवानु सुट्टो कामू नी झावु थी सेही से ।
अगर पुराने तरीके से चलते रहे तो शायद,कदी जुना तरीके थी चालतु रेह त्या कदी
"इन 18.500 गावों में खंभा पहुंचाते- पहुंचाते बिजली का तार पहुंचाते-पहुंचाते 10 साल लग जाएंगे।
","इना 18500 गामों या खम्बा पुगाडता पुगाडता विजली ना तार पुगाडता पुगाडता 10 वरह थई जाहे ।
"
"देश 10 साल इंतजार करने के लिए तैयार नहीं है।",देहं 10 वरह ना वाट जोवा ने लिदे तैयार नहीं से ।
मैंने सरकार के मुलाजिमों की meeting ली मैंने उनको पूछा क्या करोगे,मै सरकार ना मुलाजिमो नी मटीग लेदी मने इनाने यु पुछु केम करवेनु
"तो कोई कहता है 2019 साहब तक कर देंगे कोई कहता है 2022 तक कर देंगे।
","त्या कईनाक केह से 2019 तक कर देवामां कईनाक केह से 2022 तक कर देहे ।
"
"बोले घने जंगलों में है।",केह घणी उजाड मा से ।
फलानी जगह पर है' पहाड़ों में है बर्फीली प्रदेश में है कैसे पहुंचे ?,"पेली ठाम उपर से डूगरा मा से बरफ वाला देहं मा से केकम पुग है ।"
सवा सौ करोड़ देशवासियों की Team India का संकल्प,हवा सो करोड देहंवासियों नी टोलू इण्डिया नो
इन 18500 गांवों में 1000 दिन के अंदर बिजली का खंभा बिजली का तार और बिजली पहुंचे,"सकल्प से इना 18500 गावों मा 1000 दन नी माई बिजली ना खम्बा , विजली ना तार अने विजली पुगहे"
"ये काम पूरा करके दिया जाएगा और मैं राज्यों से आग्रह करता हूं 
",यो काम मूरू करीने आलवु जाये अने हॅू 
कि हम इसको करके दिखाएं और सब राज्यों में ये बाकी नहीं है कुछ ही राज्यों में ज्यादा बाकी है।,राज्यो से हाथ जोडीने कई रो से कि हमू हिनाने करीने वताडो अने हंगला राज्यों मा वो बाकि नही से कईक ही राज्यो मा वदु बाकि से ।
अगर मैं उन राज्यों का नाम दूंगा तो फिर मेरी बात को political तराजू से तौला जाएगा ,"कदी हू इना राज्यो नु नाम आलू तेरा फरी मारी वात ने राजनीति ना ताकडा थी तोलू जाहे 
"
राजनीतिक छींटाकशी होगी और इसलिए मैं उस चक्कर में पड़ना नहीं चाहता,राजनीति मा खेचा खेची होय अने ऐतरे हॅू इना चक्कर मा नहीं पडवा जोवू
"और इसलिए मैं कहता हूं सवा सौ करोड़ देशवासियों की Team India, लालकिले से ये संकल्प करती है कि",अने ऐतरे हॅू कईरो से हवा हो करोड देहवासियों नु टोलू इण्डिया लाल किला थी संकल्प करी से कि
राज्यों के सहयोग से स्थानीय इकाइयों के सहयोग से आने वाले 1000 दिन में 18500 गांवों में हम बिजली पहुंचाने का काम करेंगे।,राज्यों नो टेको मेरे नी ईकाइ्रयों ना टेका थी आवा वाला 1000 दन मां 18500 गावों मा हमू विजली पुगाडवानु काम करीहे । 
हमारे देश में जैसे किसान कल्याण एक चिंता का विषय मैंने हाथ लगाया है,आपडा देह मा जेवा करसाण ना फायदा नी एक चिन्ता मा बारा मे हाथ लगाडीयो से
उसी प्रकार से जहां से देश को ताकत मिलती है जहां से खनिजसंपदा निकलती है।,"हिनी रीते से ज्या थी देश ने ताकत मले से ज्या थी खदानो थी धन निकले से ।
"
चाहे कोयला निकलता हो चाहे बॉक्साइट निकलता हो चाहे और खनिज संपदा निकलती हो ,कदी कोयला निकले होय कदी बाक्साईट निकले  कदी अने खदानु धन निकले होय 
लेकिन वहां का जो क्षेत्र है उसके विकास के प्रति उदासीनता रहती है।,पण त्या नु ठाम से हिनानो काम करवा ने लिदे आलसी रहे से ।
आप वहां के लोगों का जीवन देखो हमारे देश को तो वो समृद्ध बनाने के लिए पसीना बहाते हैं,आपू त्या ना मनखा नो जीवन भालीये आपडा देहं नो त्यो काठू बणावा ने लिदे उबारो निकले से
लेकिन उस क्षेत्र का विकास नहीं होता है और इसलिए हमने जहां से खनिज निकलती है,पण तिना ठाम नो काम नहीं थाय से अने ऐतरे हमुये ज्या थी खदानो नु माल निकले से
वहां के मजदूरों के विकास के लिए वहां के किसानों के विकास के लिए एक विशेष योजना बनाई है,त्या ना दाडकिया नो काम ने लिदे त्या ना करसाणों नु आगडी ना काम ने लिदे एक खास ओजना वणावी से 
और हर वर्ष करीब-करीब 6 हजार करोड़ रुपया उन-उन इलाकों के लिए खर्च किया जाएगा,अने वदु थी वदु वरह मेर थी मरे 6 हजार करोड रूपयों इना इना इलाको मा खर्चो करीयो जाहे
"जो ज्यादातर मेरे आदिवासी भाइयों के इलाके में है मेरे आदिवासी क्षेत्रों में है।
","त्यो वदु थी वदु मारा आदिवासी भाईयों ना इलाका मा से मारा आदिवासी ठामो मा से ।
"
"कोयला कहां है' आदिवासियों के बीच में है वहां का विकास हो उस पर हमने काम शुरू किया है।
",कोयलु कई से आदिवासियों ना वसमा से त्या नु काम होय तिन उपर हमू काम श्ुरू करीयु से ।
"यह बहुत बड़ा भाईयों-बहनों 21वीं सदी में देश को आगे बढ़ाने में हमारी युवा शक्ति का महत्व है और आज मैं घोषित करना चाहता हूं।

","यो घणु मोटू भाईयो बुनो  21 वी हो वरहू मा देहं ने अगाडी चलाडवाने या आपडी जुवानिया ताकत नु खास से अने आज हूॅ केहवा जोवू से ।
"
"पूरे विश्व की तुलना में हमें आगे बढ़ना है तो हमारे युवकों को हमें प्रोत्साहित करना होगा उनको अवसर देना होगा।
","पूरी दनिया मा तोलवा मा हमू अगाडी चलाडवो से त्या आपडा जुवानिया ने खुश करवु जोये इनानों टेम आलवों जोये ।
"
हमारे युवक नए उद्योगकार कैसे बने हमारे युवक नए उत्पादक कैसे बने,आपडा  जुवानियानवा उधोग करवा वाला केकम बणे आपडा जुवानिया नवुपैदावार केकम बणे 
